From,Fullname,To,Subject,Body,Date,IP,Return_Path,Delivered_to,Content_type,Message_Id,X_uid,Content_Length
secure@paypal.com,PayPal Departament,undisclosed-recipients:;,We recently noticed one or more attempts to log in your account,"Dear customer, We recently noticed one or more attempts to log in your account from a foreign IP address and we have reasons to believe that your account was used by a third party without your authorization. If you recently accessed your account while traveling, the log in attempts may have initiated by you. However if you are the rightful holder of the account, click on the link below and submit, as we try to verify your account. https://www.paypal.com/cgi-bin/webscr?cmd=_run The log in attempt was made from: IP address: 44.18.30.100 ISP host: 44-36-18-20.drmnet.gr If you choose to ignore our request, you leave us no choice but to temporally suspend your account. We ask that you allow at least 48hrs for the case to be investigated and we strongly recommend not making any changes to your account in that time. * Please do not respond to this email as your reply will not be received. Thank you for your patience as we work together to protect your account. Copyright 2006 PayPal. All rights reserved.","Fri, 22 Sep 2006 23:35:53 +0200",193.253.255.81,secure@paypal.com,user@login.example.com,"text/html;
	charset=""Windows-1251""",20060922213118.7084E1C001C7@mwinf0906.orange.fr,302,1974
webmaster@paypal-flagged.com,PayPal,emv@example.com,Your Account Has Been Flagged!,[],"Sat, 23 Sep 2006 04:35:22 +0600",,webmaster@paypal-flagged.com,user@login.example.com,"multipart/alternative;
	boundary=""--3802704040432359""",HOMGQRZYSDGSHKDLXGXLGCL@aol.com,303,18683
service@chase.server1.com,Chase Online  <service@chase.server1.com,user@example.com,Alert: Account Locked!,"Account Locked ! Dear Chase Member, Due to the number of incorrect login attempts, your Chase Account has been locked for your security. This has been done to secure your accounts and to protect your private information in case the login attempts were not done by you.. At Chase Bank we care about your security so, for your protection we are proactively notifying you of this activity. If you did not trigger this lockout, follow this link to Log on to your Chase Online Account : Click here to unlock your account Thank you for your prompt attention to this matter. We apologize for any inconvenience. Thank you for using Chase! Please do not reply to this e-mail. Mail sent to this address cannot be answered.","Sat, 23 Sep 2006 04:59:20 +0600",,lisih@shininvest.ru,user@login.example.com,text/html,200609222259.k8MMxKdd008755@shininvest.ru,304,14729
service@paypal.com,PayPal <service@paypal.com,user@biochemistry.BIOC.cwru.edu,Notification of limited account access,"Dear valued PayPal® member: PayPal® is committed to maintaining a safe environment for its community of buyers and sellers. To protect the security of your account, PayPal employs some of the most advanced security systems in the world and our anti-fraud teams regularly screen the PayPal system for unusual activity. Recently, our Account Review Team identified some unusual activity in your account. In accordance with PayPal's User Agreement and to ensure that your account has not been compromised, access to your account was limited. Your account access will remain limited until this issue has been resolved. This is a fraud prevention measure meant to ensure that your account is not compromised. In order to secure your account and quickly restore full access, we may require some specific information from you for the following reason: We would like to ensure that your account was not accessed by an unauthorized third party. Because protecting the security of your account is our primary concern, we have limited access to sensitive PayPal account features. We understand that this may be an inconvenience but please understand that this temporary limitation is for your protection. Case ID Number: PP-040-442-508 We encourage you to log in and restore full access as soon as possible. Should access to your account remain limited for an extended period of time, it may result in further limitations on the use of your account. However, failure to restore your records will result in account suspension. Please update your records on or before August 20, 2005. Once you have updated your account records, your PayPal session will not be interrupted and will continue as normal. To update your Paypal records click on the following link: https://www.paypal.com/cgi-bin/webscr?cmd=_login-run Thank you for your prompt attention to this matter. Please understand that this is a security measure meant to help protect you and your account. We apologize for any inconvenience. Sincerely, PayPal® Account Review Department PayPal Email ID PP908 Accounts Management As outlined in our User Agreement, PayPal will periodically send you information about site changes and enhancements. Visit our Privacy Policy and User Agreement if you have any questions. http://www.paypal.com/cgi-bin/webscr?cmd=p/gen/ua/policy_privacy-outside","Wed, 17 Aug 2005 21:16:11 +0000 (GMT)",,user@mail.example.com,user@example.com,text/html,20050817211611.40DA8B5BE2F@africa.ibbmonitor.com,102,5004
member@eBay.com,eBay Inc.,user@example.com,IMPORTANT: Alert from eBay,[],"Sat, 23 Sep 2006 01:19:45 +0100",,member@eBay.com,user@login.example.com,"multipart/alternative;
	boundary=""--12930854402406104782""",TOTBNQOVUMBISMOBKQWMPYG@earthlink.net,305,12009
service@intl.paypal.com,PayPal,user@example.com,IMPORTANT : Notification Of Limited Account Access,[],"Sat, 23 Sep 2006 08:22:08 +0200",,security@intl.paypal.com,user@login.example.com,"multipart/alternative;
	boundary=""--461888560849262079""",GUKRJMQYAPMPMYBXERQDDGQ@comcast.net,306,1539
service@paypal.com,PayPal Security Service,"user@example.com, kovacs@example.com, kra@example.com",Restore Your Account Access - user@example.com,[],"Sat, 23 Sep 2006 06:46:42 -0500",,service@paypal.com,user@login.example.com,"multipart/alternative;
	boundary=""--37294439580606346""",QIDPINMUSQCKNPFGTWHMMUX@aol.com,307,4467
suport@ebay.com,accounts@ebay.com,undisclosed-recipients:;,Question from member,"eBay sent this message from Roger Newlan eBay sent this message from Michael Douglan (rivernick). Sender registered name is included to show this message originated from eBay. Learn more. Question from eBay Member -- Respond Now eBay sent this message on behalf of an eBay member via My Messages. Responses sent using email will not reach the eBay member. Use the Respond Now button below to respond to this message. Question from bravofan03 I'm still waiting payment for my item for about 1 week. What happened? Please mail me ASAP or I will report you to ebay. Respond to this question in My Messages. Thank you for using eBay! http://www.ebay.com/ Marketplace Safety Tip If this message is an offer to sell an item without winning it on the eBay Web site (including Second Chance Offers sent through My Messages) please do not respond to the sender. These ""outside of eBay"" transactions are unsafe and not covered by eBay purchase protection programs. Never pay for your eBay item through instant wire transfer services such as Western Union or MoneyGram. These payment methods are unsafe when paying someone you do not know. Is this email inappropriate? Does it violate eBay policy? Help protect the community by This email appears in the language of the eBay site where you are registered. Learn how you can protect yourself from spoof (fake) emails at: http://pages.ebay.com/education/spooftutorial This eBay notice was sent to ispqri@yahoo.com on behalf of another eBay member through the eBay platform and in accordance with our Privacy Policy. If you would like to receive this email in text format, change your notification preferences. See our Privacy Policy and User Agreement if you have questions about eBay's communication policies. Privacy Policy: http://pages.ebay.com/help/policies/privacy-policy.html User Agreement: http://pages.ebay.com/help/policies/user-agreement.html Copyright © 2005 eBay, Inc. All Rights Reserved. Designated trademarks and brands are the property of their respective owners. eBay and the eBay logo are registered trademarks or trademarks of eBay, Inc. eBay is located at 2145 Hamilton Avenue, San Jose, CA 95125.","Sat, 23 Sep 2006 14:50:27 +0300",80.96.24.199,suport@ebay.com,user@login.example.com,"text/html;
	charset=""Windows-1251""",20060923115437.5673D6FA464@mail.example.org,308,17198
mail@support.com,PayPal Inc,undisclosed-recipients:;,PayPal Account Security Measures   ,"We recently noticed one or more attempts to log in to your PayPal account from a foreign IP address. If you recently accessed your account while traveling, the unusual log in attempts may have been initiated by you. However if you are the rightful holder of the account,click on the link below to log into the account and follow the instructions. https://www.paypal.com/us/cgi-bin/webscr?cmd=_login-run If you choose not to complete the request, you give us no choice but to suspend your account temporary. It takes at least 72 hours for the investigation in this case and we strongly recommend you to verify your account at that time. If you received this notice and you are not the authorized account holder, please be aware that it is in violation of PayPal policy to represent oneself as an other PayPal user.Such action may also be in violation of local, national, and/or international law. PayPal is committed to assist law enforcement with any inquires related attempts to missapropriate personal information with the intent to commit fraud or theft. Information will be provided at the request or law enforcement agencies to ensure that perpetrators are prosecuted to the fullest extent of the law. Thanks for your patience as we work together to protect your account. PayPal Account Review Department. Please do not reply to this email. This mailbox is not monitored and you will not receive a response. For assistance, log in to your PayPal account and click the Help link located in the top right corner of any PayPal page. PayPal Email ID PP00145","Sun, 24 Sep 2006 05:58:11 +0900",218.112.124.16,mail@support.com,user@login.example.com,"text/html;
	charset=""Windows-1251""",20060923205925.225A76CCFF2@mail.example.org,309,5472
service@paypal.com,PayPal Security Service,"jeremie@example.com, user@example.com, kovacs@example.com, kra@example.com,
 laps@example.com, mat@example.com, nelson@example.com","IMPORTANT: Alert from PayPal Restore Your Account Acces -
 jeremie@example.com",[],"Sun, 24 Sep 2006 13:05:44 -0300",,service@paypal.com,user@login.example.com,"multipart/alternative;
	boundary=""--0090523209103307""",WUCMZXOQTDTMCWQBWNJS@earthlink.net,310,4468
suport@ebay.com,accounts@ebay.com,undisclosed-recipients:;,Question from member,"eBay sent this message from Roger Newlan eBay sent this message from Michael Douglan (rivernick). Sender registered name is included to show this message originated from eBay. Learn more. Question from eBay Member -- Respond Now eBay sent this message on behalf of an eBay member via My Messages. Responses sent using email will not reach the eBay member. Use the Respond Now button below to respond to this message. Question from bravofan03 I'm still waiting payment for my item for about 1 week. What happened? Please mail me ASAP or I will report you to ebay. Respond to this question in My Messages. Thank you for using eBay! http://www.ebay.com/ Marketplace Safety Tip If this message is an offer to sell an item without winning it on the eBay Web site (including Second Chance Offers sent through My Messages) please do not respond to the sender. These ""outside of eBay"" transactions are unsafe and not covered by eBay purchase protection programs. Never pay for your eBay item through instant wire transfer services such as Western Union or MoneyGram. These payment methods are unsafe when paying someone you do not know. Is this email inappropriate? Does it violate eBay policy? Help protect the community by This email appears in the language of the eBay site where you are registered. Learn how you can protect yourself from spoof (fake) emails at: http://pages.ebay.com/education/spooftutorial This eBay notice was sent to ispqri@yahoo.com on behalf of another eBay member through the eBay platform and in accordance with our Privacy Policy. If you would like to receive this email in text format, change your notification preferences. See our Privacy Policy and User Agreement if you have questions about eBay's communication policies. Privacy Policy: http://pages.ebay.com/help/policies/privacy-policy.html User Agreement: http://pages.ebay.com/help/policies/user-agreement.html Copyright © 2005 eBay, Inc. All Rights Reserved. Designated trademarks and brands are the property of their respective owners. eBay and the eBay logo are registered trademarks or trademarks of eBay, Inc. eBay is located at 2145 Hamilton Avenue, San Jose, CA 95125.","Sun, 24 Sep 2006 20:44:49 +0300",80.96.24.199,suport@ebay.com,user@login.example.com,"text/html;
	charset=""Windows-1251""",20060924182244.CB9E76FA372@mail.example.org,311,17202
member@eBay.com,eBay member: 3truck,undisclosed-recipients:;,Question from eBay Member - Respond Now,"eBay sent this message to you ( from 3truck).Your registered name is included to show this message originated from eBay. Learn more. Question about Item -- Respond Now eBay sent this message on behalf of an eBay member via My Messages. Responses sent using email will not reach the eBay member. Use the Respond Now button below to respond to this message. Question from 3truck 3truck ( 542) Positive feedback: 100% Member since: Dec-31-02 Location: CA, United States Registered on: www.ebay.com This message was sent while the listing was active. 3truck is a potential buyer. Please let me know when you will send me the payment because I start the shipping to your address. Thank You Respond to this question Responses in My Messages will not include your email address. Thank you,eBay Details for item number: 230120010170 Item URL: http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&item=230120010170 Marketplace Safety Tip Always remember to complete your transactions on eBay - it's the safer way to trade.Is this message an offer to buy your item directly through email without winning the item on eBay? If so, please help make the eBay marketplace safer by reporting it to us. These ""outside of eBay"" transactions may be unsafe and are against eBay policy. Learn more about trading safely. Is this email inappropriate? Does it violate eBay policy? Help protect the Community by reporting it. Learn how you can protect yourself from spoof (fake) emails at: http://pages.ebay.com/education/spooftutorial See our Privacy Policy and User Agreement if you have questions about eBay's communication policies. Privacy Policy: http://pages.ebay.com/help/policies/privacy-policy.html User Agreement: http://pages.ebay.com/help/policies/user-agreement.html Copyright © 2006 eBay, Inc. All Rights Reserved.Designated tradem arks and brands are the property of their respective owners. eBay and the eBay logo are registered trademarks or trademarks of eBay, Inc.","Sun, 24 Sep 2006 14:51:56 -0400",65.40.28.50,member@eBay.com,user@login.example.com,"text/html;
	charset=""Windows-1251""",20060924185204.297E66CD181@mail.example.org,312,13040
service@paypal.com,PayPal Security Service,"bill@example.com, bobafett@example.com, bri@example.com,
 chester@example.com, ericj@example.com, jefrey@example.com,
 jeremie@example.com, user@example.com, kovacs@example.com, kra@example.com","IMPORTANT: Alert from PayPal Restore Your Account Acces -
 bill@example.com",[],"Mon, 25 Sep 2006 04:12:02 +0500",,service@paypal.com,user@login.example.com,"multipart/alternative;
	boundary=""--593676167733620""",LROHKVTMBBGCRPJFZEAQGNTKG@hotmail.com,313,4463
member@ebay.com,Question from ebay member: jancortina,user@example.com,Question about Item -- Respond Now ,[],"Mon, 25 Sep 2006 20:57:19 +0600",,member@ebay.com,user@login.example.com,"multipart/alternative;
	boundary=""--55859393655925959673""",IVACLAPOBKQALEXVCLNOKCTOV@yahoo.com,314,14714
service@paypal.com,service@paypal.com,user@biochemistry.BIOC.cwru.edu,Notification of limited account access,"Dear valued PayPal® member: PayPal® is committed to maintaining a safe environment for its community of buyers and sellers. To protect the security of your account, PayPal employs some of the most advanced security systems in the world and our anti-fraud teams regularly screen the PayPal system for unusual activity. Recently, our Account Review Team identified some unusual activity in your account. In accordance with PayPal's User Agreement and to ensure that your account has not been compromised, access to your account was limited. Your account access will remain limited until this issue has been resolved. This is a fraud prevention measure meant to ensure that your account is not compromised. In order to secure your account and quickly restore full access, we may require some specific information from you for the following reason: We would like to ensure that your account was not accessed by an unauthorized third party. Because protecting the security of your account is our primary concern, we have limited access to sensitive PayPal account features. We understand that this may be an inconvenience but please understand that this temporary limitation is for your protection. Case ID Number: PP-040-442-508 We encourage you to log in and restore full access as soon as possible. Should access to your account remain limited for an extended period of time, it may result in further limitations on the use of your account. However, failure to restore your records will result in account suspension. Please update your records on or before August 20, 2005. Once you have updated your account records, your PayPal session will not be interrupted and will continue as normal. To update your Paypal records click on the following link: https://www.paypal.com/cgi-bin/webscr?cmd=_login-run Thank you for your prompt attention to this matter. Please understand that this is a security measure meant to help protect you and your account. We apologize for any inconvenience. Sincerely, PayPal® Account Review Department PayPal Email ID PP908 Accounts Management As outlined in our User Agreement, PayPal will periodically send you information about site changes and enhancements. Visit our Privacy Policy and User Agreement if you have any questions. http://www.paypal.com/cgi-bin/webscr?cmd=p/gen/ua/policy_privacy-outside","Wed, 17 Aug 2005 21:44:44 +0000 (GMT)",,user@mail.example.com,user@example.com,text/html,20050817214444.924731234F92@nea.ibbmonitor.com,103,4966
member@ebay.com,Question from ebay member: jancortina,user@example.com,Question about Item -- Respond Now ,[],"Mon, 25 Sep 2006 08:43:28 -0700",,member@ebay.com,user@login.example.com,"multipart/alternative;
	boundary=""--528584305531927""",IBRCGXERFBTRDWQACAPFZRDD@yahoo.com,315,14704
member@ebay.com,Question from ebay member: jancortina,user@example.com,Question about Item -- Respond Now ,[],"Mon, 25 Sep 2006 10:01:26 -0600",,member@ebay.com,user@login.example.com,"multipart/alternative;
	boundary=""--30546386113006992""",BJPMXKDSYNAKFCBCQDEOYQMP@yahoo.com,316,14708
aw-confirm@eBay.com,eBay <aw-confirm@eBay.com,user@example.com,New Unpaid Item Message,"eBay New Unpaid Item Message from babyphat96: #8246157898 -- response required Dear member, eBay member babyphat96 has left you a message regarding item #8246157898 View the dispute thread to respond. Regards, eBay","Mon, 25 Sep 2006 19:19:50 +0200 (CEST)",,untitled_1@redakcja.trybuna.com.pl,user@login.example.com,text/html,20060925171950.4E57773F441C@redakcja.trybuna.com.pl,317,1456
account@ebay.com,eBay Inc.,"shinobi@example.com, markus@example.com, user@example.com,
 qwerty@example.com",Password Change Required,[],"Mon, 25 Sep 2006 16:47:08 -0300",,account@ebay.com,user@login.example.com,"multipart/alternative;
	boundary=""--924028914048155101""",LUCVOFQAEWPACECUBSGDKZ@aol.com,318,4439
service@paypal.com,service@paypal.com <service@paypal.com,user@example.com,PayPal Notification: Update your information,"PayPal You're Billing Information! Dear PayPal Member, It has come to our attention that your PayPal Billing Information records are out of date. That requires you to update the Billing Information. Failure to update your records will result in account termination. Please update your records within 24 hours. Once you have updated your account records, your PayPal session will not be interrupted and will continue as normal. Failure to update will result in cancellation of service, Terms of Service (TOS) violations or future billing problems. You must click the link below and enter your login information on the following page to confirm your Billing Information records. Click here to activate your account You can also confirm your Billing Information by logging into your PayPal account at https://www.paypal.com/us/. Thank you for using PayPal! The PayPal Team Please do not reply to this e-mail. Mail sent to this address cannot be answered. For assistance, log in to your PayPal account and choose the ""Help"" link in the footer of any page. To receive email notifications in plain text instead of HTML, update your preferences here. PayPal Email ID PP468 Protect Your Account Info Make sure you never provide your password to fraudulent websites. To safely and securely access the PayPal website or your account, open a new web browser (e.g. Internet Explorer or Netscape) and type in the PayPal URL (http://service-intl-security.de/www.paypal.com/us/eu/service-intl/security-server-ssl-cgi/paypal/account/index.php) to be sure you are on the real PayPal site.PayPal will never ask you to enter your password in an email. For more information on protecting yourself from fraud, please review our Security Tips at https://www.paypal.com/us/securitytips Protect Your Password You should never give your PayPal password to anyone, including PayPal employees.","Mon, 25 Sep 2006 20:54:05 +0200 (CEST)",,wwwrun@s2.medienuniversum.com,user@login.example.com,text/html,20060925185405.52B7D3A7F32@s2.medienuniversum.com,319,8608
